filename phrasedur time point ST hz
odamesz 0.7113 0.1600 2 --undefined-- --undefined--
odamesz 0.7113 0.1719 3 --undefined-- --undefined--
odamesz 0.7113 0.1837 4 --undefined-- --undefined--
odamesz 0.7113 0.1956 5 --undefined-- --undefined--
odamesz 0.7113 0.2074 6 --undefined-- --undefined--
odamesz 0.7113 0.2193 7 -1.39 92.27
odamesz 0.7113 0.2312 8 -1.58 91.30
odamesz 0.7113 0.2430 9 -1.30 92.75
odamesz 0.7113 0.2549 10 -0.78 95.59
odamesz 0.7113 0.2667 11 -0.33 98.09
odamesz 0.7113 0.2786 12 -0.10 99.41
odamesz 0.7113 0.2904 13 0.05 100.27
odamesz 0.7113 0.3023 14 0.22 101.29
odamesz 0.7113 0.3141 15 0.46 102.68
odamesz 0.7113 0.3260 16 0.73 104.31
odamesz 0.7113 0.3379 17 1.11 106.62
odamesz 0.7113 0.3497 18 1.74 110.60
odamesz 0.7113 0.3616 19 2.63 116.43
odamesz 0.7113 0.3734 20 3.68 123.67
odamesz 0.7113 0.3853 21 4.77 131.75
odamesz 0.7113 0.3971 22 5.87 140.38
odamesz 0.7113 0.4090 23 6.90 148.98
odamesz 0.7113 0.4208 24 7.74 156.43
odamesz 0.7113 0.4327 25 8.39 162.33
odamesz 0.7113 0.4446 26 8.84 166.60
odamesz 0.7113 0.4564 27 9.12 169.31
odamesz 0.7113 0.4683 28 9.19 170.07
odamesz 0.7113 0.4801 29 8.97 167.91
odamesz 0.7113 0.4920 30 8.46 163.00
odamesz 0.7113 0.5038 31 7.68 155.86
odamesz 0.7113 0.5157 32 6.64 146.76
odamesz 0.7113 0.5275 33 5.45 137.08
odamesz 0.7113 0.5394 34 4.25 127.85
odamesz 0.7113 0.5512 35 3.03 119.17
odamesz 0.7113 0.5631 36 1.76 110.73
odamesz 0.7113 0.5750 37 0.55 103.23
odamesz 0.7113 0.5868 38 -0.29 98.35
odamesz 0.7113 0.5987 39 -0.76 95.68
odamesz 0.7113 0.6105 40 --undefined-- --undefined--
odamesz 0.7113 0.6224 41 --undefined-- --undefined--
odamesz 0.7113 0.6342 42 --undefined-- --undefined--
odamesz 0.7113 0.6461 43 --undefined-- --undefined--
odamesz 0.7113 0.6579 44 --undefined-- --undefined--
odamesz 0.7113 0.6698 45 --undefined-- --undefined--
odamesz 0.7113 0.6817 46 --undefined-- --undefined--
odamesz 0.7113 0.6935 47 --undefined-- --undefined--
odamesz 0.7113 0.7054 48 --undefined-- --undefined--
odamesz 0.7113 0.7172 49 --undefined-- --undefined--
odamesz 0.7113 0.7291 50 --undefined-- --undefined--
odamesz 0.7113 0.7409 51 --undefined-- --undefined--
odamesz 0.7113 0.7528 52 --undefined-- --undefined--
odamesz 0.7113 0.7646 53 --undefined-- --undefined--
odamesz 0.7113 0.7765 54 --undefined-- --undefined--
odamesz 0.7113 0.7884 55 --undefined-- --undefined--
odamesz 0.7113 0.8002 56 --undefined-- --undefined--
odamesz 0.7113 0.8121 57 --undefined-- --undefined--
odamesz 0.7113 0.8239 58 --undefined-- --undefined--
odamesz 0.7113 0.8358 59 --undefined-- --undefined--
odamesz 0.7113 0.8476 60 --undefined-- --undefined--
